PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,Sector privat,Harghita,1993,Kilograme,1856.0
Grau - total,din care: Exploatatii agricole individuale,Bistrita-Nasaud,1993,Kilograme,2072.0
Grau - total,din care: Exploatatii agricole individuale,Harghita,1993,Kilograme,1744.0
Grau - total,din care: Exploatatii agricole individuale,Ialomita,1993,Kilograme,1620.0
Grau - total,din care: Exploatatii agricole individuale,Mehedinti,1993,Kilograme,1927.0
Grau - total,Sector privat,Bistrita-Nasaud,1993,Kilograme,2091.0
Grau - total,Sector privat,Mehedinti,1993,Kilograme,1899.0
Grau - total,Sector privat,Dambovita,1993,Kilograme,1836.0
Grau - total,din care: Exploatatii agricole individuale,Olt,1993,Kilograme,2018.0
Grau - total,din care: Exploatatii agricole individuale,Arges,1993,Kilograme,1969.0
Grau - total,din care: Exploatatii agricole individuale,Vrancea,1993,Kilograme,2488.0
Grau - total,din care: Exploatatii agricole individuale,Iasi,1993,Kilograme,2624.0
Grau - total,din care: Exploatatii agricole individuale,Mures,1993,Kilograme,2231.0
Grau - total,din care: Exploatatii agricole individuale,Cluj,1993,Kilograme,1752.0
Grau - total,Sector privat,Olt,1993,Kilograme,1990.0
Grau - total,Sector privat,Mures,1993,Kilograme,2299.0
Grau - total,Sector privat,Giurgiu,1993,Kilograme,2685.0
Grau - total,Sector privat,Cluj,1993,Kilograme,1774.0
Grau - total,din care: Exploatatii agricole individuale,Valcea,1993,Kilograme,3508.0
Grau - total,Sector privat,Buzau,1993,Kilograme,1622.0
Grau - total,Sector privat,Sibiu,1993,Kilograme,2104.0
Grau - total,din care: Exploatatii agricole individuale,Maramures,1993,Kilograme,1927.0
Grau - total,din care: Exploatatii agricole individuale,Sibiu,1993,Kilograme,2040.0
Grau - total,Sector privat,Valcea,1993,Kilograme,3498.0
Grau - total,Sector privat,Maramures,1993,Kilograme,1931.0
Grau - total,Sector privat,Ialomita,1993,Kilograme,1663.0
Grau - total,din care: Exploatatii agricole individuale,Dolj,1993,Kilograme,1596.0
Grau - total,Sector privat,Constanta,1993,Kilograme,2007.0
Grau - total,din care: Exploatatii agricole individuale,Arad,1993,Kilograme,2277.0
Grau - total,din care: Exploatatii agricole individuale,Galati,1993,Kilograme,2373.0
Grau - total,Sector privat,Bacau,1993,Kilograme,3154.0
Grau - total,din care: Exploatatii agricole individuale,Satu Mare,1993,Kilograme,2035.0
Grau - total,din care: Exploatatii agricole individuale,Bacau,1993,Kilograme,3189.0
Grau - total,Sector privat,Satu Mare,1993,Kilograme,2341.0
Grau - total,Sector privat,Arad,1993,Kilograme,2344.0
Grau - total,Sector privat,Prahova,1993,Kilograme,2540.0
Grau - total,Sector privat,Galati,1993,Kilograme,2429.0
Grau - total,Sector privat,Botosani,1993,Kilograme,2225.0
Grau - total,din care: Exploatatii agricole individuale,Caras-Severin,1993,Kilograme,2109.0
Grau - total,din care: Exploatatii agricole individuale,Giurgiu,1993,Kilograme,2615.0
Grau - total,Sector privat,Salaj,1993,Kilograme,1929.0
Grau - total,din care: Exploatatii agricole individuale,Salaj,1993,Kilograme,1910.0
Grau - total,din care: Exploatatii agricole individuale,Botosani,1993,Kilograme,2167.0
Grau - total,Sector privat,Caras-Severin,1993,Kilograme,2097.0
Grau - total,din care: Exploatatii agricole individuale,Gorj,1993,Kilograme,2640.0
Grau - total,Sector privat,Teleorman,1993,Kilograme,2198.0
Grau - total,Sector privat,Tulcea,1993,Kilograme,1930.0
Grau - total,din care: Exploatatii agricole individuale,Hunedoara,1993,Kilograme,2307.0
Grau - total,din care: Exploatatii agricole individuale,Buzau,1993,Kilograme,1562.0
Grau - total,Sector privat,Iasi,1993,Kilograme,2678.0
Grau - total,Sector privat,Alba,1993,Kilograme,2124.0
Grau - total,din care: Exploatatii agricole individuale,Alba,1993,Kilograme,2097.0
